surface_condition,comparison,clusters,paired_difference,ci95_low,ci95_high,bootstrap_replicates
C0_SEEN_STYLE,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_NATURALIZED_LEARNED_FACTOR_RULE_0.8B,160,0.0,0.0,0.0,10000
C0_SEEN_STYLE,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_FROZEN_FACTOR_PARSER_RULE,160,0.0,0.0,0.0,10000
C0_SEEN_STYLE,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_TFIDF_NEAREST_NEIGHBOUR_RULE,160,0.0,0.0,0.0,10000
C0_SEEN_STYLE,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_COMPLETE_SURFACE_TABLE,160,0.0,0.0,0.0,10000
C0_SEEN_STYLE,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_FROZEN_FACTOR_PARSER_RULE,160,0.0,0.0,0.0,10000
C0_SEEN_STYLE,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_TFIDF_NEAREST_NEIGHBOUR_RULE,160,0.0,0.0,0.0,10000
C0_SEEN_STYLE,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_COMPLETE_SURFACE_TABLE,160,0.0,0.0,0.0,10000
C1_SYNTACTIC_RECOMBINATION,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_NATURALIZED_LEARNED_FACTOR_RULE_0.8B,160,0.0,0.0,0.0,10000
C1_SYNTACTIC_RECOMBINATION,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_FROZEN_FACTOR_PARSER_RULE,160,0.0,0.0,0.0,10000
C1_SYNTACTIC_RECOMBINATION,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_TFIDF_NEAREST_NEIGHBOUR_RULE,160,0.0,0.0,0.0,10000
C1_SYNTACTIC_RECOMBINATION,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_COMPLETE_SURFACE_TABLE,160,1.0,1.0,1.0,10000
C1_SYNTACTIC_RECOMBINATION,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_FROZEN_FACTOR_PARSER_RULE,160,0.0,0.0,0.0,10000
C1_SYNTACTIC_RECOMBINATION,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_TFIDF_NEAREST_NEIGHBOUR_RULE,160,0.0,0.0,0.0,10000
C1_SYNTACTIC_RECOMBINATION,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_COMPLETE_SURFACE_TABLE,160,1.0,1.0,1.0,10000
C2_LEXICAL_PARAPHRASE,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_NATURALIZED_LEARNED_FACTOR_RULE_0.8B,160,-0.13229166666666667,-0.20625,-0.057291666666666664,10000
C2_LEXICAL_PARAPHRASE,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_FROZEN_FACTOR_PARSER_RULE,160,0.6583333333333333,0.590625,0.725,10000
C2_LEXICAL_PARAPHRASE,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_TFIDF_NEAREST_NEIGHBOUR_RULE,160,0.06458333333333333,-7.806255641895632e-18,0.13229166666666664,10000
C2_LEXICAL_PARAPHRASE,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_COMPLETE_SURFACE_TABLE,160,0.6583333333333333,0.590625,0.725,10000
C2_LEXICAL_PARAPHRASE,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_FROZEN_FACTOR_PARSER_RULE,160,0.790625,0.7322916666666667,0.84375,10000
C2_LEXICAL_PARAPHRASE,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_TFIDF_NEAREST_NEIGHBOUR_RULE,160,0.196875,0.11770833333333333,0.2791666666666667,10000
C2_LEXICAL_PARAPHRASE,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_COMPLETE_SURFACE_TABLE,160,0.790625,0.7322916666666667,0.84375,10000
C3_PARAPHRASE_DISTRACTOR,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_NATURALIZED_LEARNED_FACTOR_RULE_0.8B,160,-0.153125,-0.225,-0.08020833333333334,10000
C3_PARAPHRASE_DISTRACTOR,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_FROZEN_FACTOR_PARSER_RULE,160,0.6479166666666667,0.5791666666666667,0.715625,10000
C3_PARAPHRASE_DISTRACTOR,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_TFIDF_NEAREST_NEIGHBOUR_RULE,160,0.02291666666666666,-0.04895833333333334,0.096875,10000
C3_PARAPHRASE_DISTRACTOR,NATURALIZED_DIRECT_SHORT_DSL_0.8B_MINUS_COMPLETE_SURFACE_TABLE,160,0.6479166666666667,0.5791666666666667,0.715625,10000
C3_PARAPHRASE_DISTRACTOR,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_FROZEN_FACTOR_PARSER_RULE,160,0.8010416666666667,0.74375,0.8552083333333333,10000
C3_PARAPHRASE_DISTRACTOR,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_TFIDF_NEAREST_NEIGHBOUR_RULE,160,0.17604166666666665,0.09166666666666666,0.26458333333333334,10000
C3_PARAPHRASE_DISTRACTOR,NATURALIZED_LEARNED_FACTOR_RULE_0.8B_MINUS_COMPLETE_SURFACE_TABLE,160,0.8010416666666667,0.74375,0.8552083333333333,10000
