method_id,surface_condition,records,base_semantic_clusters,seeds,numerator,rate
COMPLETE_SURFACE_TABLE,C0_SEEN_STYLE,320,160,0,320,1.0
COMPLETE_SURFACE_TABLE,C1_SYNTACTIC_RECOMBINATION,320,160,0,0,0.0
COMPLETE_SURFACE_TABLE,C2_LEXICAL_PARAPHRASE,320,160,0,0,0.0
COMPLETE_SURFACE_TABLE,C3_PARAPHRASE_DISTRACTOR,320,160,0,0,0.0
FROZEN_FACTOR_PARSER_RULE,C0_SEEN_STYLE,320,160,0,320,1.0
FROZEN_FACTOR_PARSER_RULE,C1_SYNTACTIC_RECOMBINATION,320,160,0,320,1.0
FROZEN_FACTOR_PARSER_RULE,C2_LEXICAL_PARAPHRASE,320,160,0,0,0.0
FROZEN_FACTOR_PARSER_RULE,C3_PARAPHRASE_DISTRACTOR,320,160,0,0,0.0
NATURALIZED_DIRECT_SHORT_DSL_0.8B,C0_SEEN_STYLE,960,160,3,960,1.0
NATURALIZED_DIRECT_SHORT_DSL_0.8B,C1_SYNTACTIC_RECOMBINATION,960,160,3,960,1.0
NATURALIZED_DIRECT_SHORT_DSL_0.8B,C2_LEXICAL_PARAPHRASE,960,160,3,632,0.6583333333333333
NATURALIZED_DIRECT_SHORT_DSL_0.8B,C3_PARAPHRASE_DISTRACTOR,960,160,3,622,0.6479166666666667
NATURALIZED_LEARNED_FACTOR_RULE_0.8B,C0_SEEN_STYLE,960,160,3,960,1.0
NATURALIZED_LEARNED_FACTOR_RULE_0.8B,C1_SYNTACTIC_RECOMBINATION,960,160,3,960,1.0
NATURALIZED_LEARNED_FACTOR_RULE_0.8B,C2_LEXICAL_PARAPHRASE,960,160,3,759,0.790625
NATURALIZED_LEARNED_FACTOR_RULE_0.8B,C3_PARAPHRASE_DISTRACTOR,960,160,3,769,0.8010416666666667
ORACLE_FACTOR_RULE,C0_SEEN_STYLE,320,160,0,320,1.0
ORACLE_FACTOR_RULE,C1_SYNTACTIC_RECOMBINATION,320,160,0,320,1.0
ORACLE_FACTOR_RULE,C2_LEXICAL_PARAPHRASE,320,160,0,320,1.0
ORACLE_FACTOR_RULE,C3_PARAPHRASE_DISTRACTOR,320,160,0,320,1.0
TFIDF_NEAREST_NEIGHBOUR_RULE,C0_SEEN_STYLE,320,160,0,320,1.0
TFIDF_NEAREST_NEIGHBOUR_RULE,C1_SYNTACTIC_RECOMBINATION,320,160,0,320,1.0
TFIDF_NEAREST_NEIGHBOUR_RULE,C2_LEXICAL_PARAPHRASE,320,160,0,190,0.59375
TFIDF_NEAREST_NEIGHBOUR_RULE,C3_PARAPHRASE_DISTRACTOR,320,160,0,200,0.625
