method_id,seed,rows,epochs,optimizer_steps,effective_batch_size,max_length,dtype,gpu_name,config_sha256,checkpoint_tree_sha256
FULL_FREE_FORM_0.8B_MATCHED_SFT,2026073101,2400,2,300,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,7e196573ec6e265c46878b77892ba9ed51d592ec68e6ed7343c6de9c88f0f101
FULL_FREE_FORM_0.8B_MATCHED_SFT,2026073102,2400,2,300,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,4cac83dbfdbd9c7e19af7911b9ef981b79b2e87a4248b5386b37774cde944a16
FULL_FREE_FORM_0.8B_MATCHED_SFT,2026073103,2400,2,300,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,d58749734de862055e143733bc7c7654c7b6ec002a9bbf8f5f1c7c39f6eac880
GCP_MULTI_STEP_REQUEST_0.8B,2026073101,1920,2,240,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,66e1f8c041e198e1d7c9a9ac11308e657362895b6499733497efd99b5d82e1c7
GCP_MULTI_STEP_REQUEST_0.8B,2026073102,1920,2,240,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,4b99b0755e936b25a4e4e579a3ea7a023340f230e4e85a226b461c09e96e9116
GCP_MULTI_STEP_REQUEST_0.8B,2026073103,1920,2,240,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,48df1656241710bf27d2f4e9d3c19fef2b60b6437785917c22a26543e747cac0
SELF_PLAN_ONLY_0.8B,2026073101,1920,2,240,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,46ba3534daba074a8354d604e034a3d1f794b5af6353e510a29fc930ec5a9758
SELF_PLAN_ONLY_0.8B,2026073102,1920,2,240,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,2fe32ed9ae052a10a8a87e9814e6d099e2d6233a597f42b55c3389beb066bc89
SELF_PLAN_ONLY_0.8B,2026073103,1920,2,240,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,6025767828336a09093d1f4fa807a39c6b11e95f1b1ddbd19acf3c5dba805f64
SINGLE_STEP_REQUEST_0.8B,2026073101,2880,2,360,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,9c0bd589b96e4e685ef4706ad8ba4ad105d46cd5301842dff3d72411dcec14b3
SINGLE_STEP_REQUEST_0.8B,2026073102,2880,2,360,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,f82d702f1f133c98cd33b8c135b19639c9fbaeafa1cc5b9c191fc441ef63bb64
SINGLE_STEP_REQUEST_0.8B,2026073103,2880,2,360,16,2048,bfloat16,NVIDIA A100-PCIE-40GB,d965b3e700292345b12f7adf2f5dffad163af8f804583a12c778865ce4c353a8,42705cf5dd25bf03d31cd7af895334334ef0cd721d0222d9dc4a298a34784bf8
